offset analytical, V
0, 0.5
0.00023094, 0.500087
0.00046188, 0.500173
0.00069282, 0.50026
0.00092376, 0.500346
0.0011547, 0.500433
0.00138564, 0.50052
0.00161658, 0.500606
0.00184752, 0.500693
0.00207846, 0.500779
0.0023094, 0.500866
0.00254034, 0.500953
0.00277128, 0.501039
0.00300222, 0.501126
0.00323316, 0.501212
0.0034641, 0.501299
0.00369504, 0.501386
0.00392598, 0.501472
0.00415692, 0.501559
0.00438786, 0.501645
0.0046188, 0.501732
0.00484974, 0.501819
0.00508068, 0.501905
0.00531162, 0.501992
0.00554256, 0.502078
0.0057735, 0.502165
0.00600444, 0.502252
0.00623538, 0.502338
0.00646632, 0.502425
0.00669726, 0.502511
0.0069282, 0.502598
0.00715914, 0.502685
0.00739008, 0.502771
0.00762102, 0.502858
0.00785196, 0.502944
0.0080829, 0.503031
0.00831384, 0.503118
0.00854478, 0.503204
0.00877572, 0.503291
0.00900666, 0.503377
0.0092376, 0.503464
0.00946854, 0.503551
0.00969948, 0.503637
0.00993042, 0.503724
0.0101614, 0.50381
0.0103923, 0.503897
0.0106232, 0.503984
0.0108542, 0.50407
0.0110851, 0.504157
0.0113161, 0.504243
0.011547, 0.50433
0.0117779, 0.504417
0.0120089, 0.504503
0.0122398, 0.50459
0.0124708, 0.504676
0.0127017, 0.504763
0.0129326, 0.50485
0.0131636, 0.504936
0.0133945, 0.505023
0.0136255, 0.505109
0.0138564, 0.505196
0.0140873, 0.505283
0.0143183, 0.505369
0.0145492, 0.505456
0.0147802, 0.505542
0.0150111, 0.505629
0.015242, 0.505716
0.015473, 0.505802
0.0157039, 0.505889
0.0159349, 0.505975
0.0161658, 0.506062
0.0163967, 0.506149
0.0166277, 0.506235
0.0168586, 0.506322
0.0170896, 0.506408
0.0173205, 0.506495
0.0175514, 0.506582
0.0177824, 0.506668
0.0180133, 0.506755
0.0182443, 0.506841
0.0184752, 0.506928
0.0187061, 0.507015
0.0189371, 0.507101
0.019168, 0.507188
0.019399, 0.507274
0.0196299, 0.507361
0.0198608, 0.507448
0.0200918, 0.507534
0.0203227, 0.507621
0.0205537, 0.507707
0.0207846, 0.507794
0.0210155, 0.507881
0.0212465, 0.507967
0.0214774, 0.508054
0.0217084, 0.50814
0.0219393, 0.508227
0.0221703, 0.508314
0.0224012, 0.5084
0.0226321, 0.508487
0.0228631, 0.508573
0.023094, 0.50866
0.023325, 0.508746
0.0235559, 0.508833
0.0237868, 0.50892
0.0240178, 0.509006
0.0242487, 0.509093
0.0244797, 0.509179
0.0247106, 0.509266
0.0249415, 0.509353
0.0251725, 0.509439
0.0254034, 0.509526
0.0256344, 0.509612
0.0258653, 0.509699
0.0260962, 0.509786
0.0263272, 0.509872
0.0265581, 0.509959
0.0267891, 0.510045
0.02702, 0.510132
0.0272509, 0.510218
0.0274819, 0.510305
0.0277128, 0.510392
0.0279438, 0.510478
0.0281747, 0.510565
0.0284056, 0.510651
0.0286366, 0.510738
0.0288675, 0.510825
0.0290985, 0.510911
0.0293294, 0.510998
0.0295603, 0.511084
0.0297913, 0.511171
0.0300222, 0.511257
0.0302532, 0.511344
0.0304841, 0.511431
0.030715, 0.511517
0.030946, 0.511604
0.0311769, 0.51169
0.0314079, 0.511777
0.0316388, 0.511864
0.0318697, 0.51195
0.0321007, 0.512037
0.0323316, 0.512123
0.0325626, 0.51221
0.0327935, 0.512296
0.0330244, 0.512383
0.0332554, 0.51247
0.0334863, 0.512556
0.0337173, 0.512643
0.0339482, 0.512729
0.0341791, 0.512816
0.0344101, 0.512903
0.034641, 0.512989
0.034872, 0.513076
0.0351029, 0.513162
0.0353338, 0.513249
0.0355648, 0.513335
0.0357957, 0.513422
0.0360267, 0.513509
0.0362576, 0.513595
0.0364885, 0.513682
0.0367195, 0.513768
0.0369504, 0.513855
0.0371814, 0.513941
0.0374123, 0.514028
0.0376432, 0.514115
0.0378742, 0.514201
0.0381051, 0.514288
0.0383361, 0.514374
0.038567, 0.514461
0.0387979, 0.514547
0.0390289, 0.514634
0.0392598, 0.514721
0.0394908, 0.514807
0.0397217, 0.514894
0.0399526, 0.51498
0.0401836, 0.515067
0.0404145, 0.515153
0.0406455, 0.51524
0.0408764, 0.515327
0.0411073, 0.515413
0.0413383, 0.5155
0.0415692, 0.515586
0.0418002, 0.515673
0.0420311, 0.515759
0.042262, 0.515846
0.042493, 0.515932
0.0427239, 0.516019
0.0429549, 0.516106
0.0431858, 0.516192
0.0434167, 0.516279
0.0436477, 0.516365
0.0438786, 0.516452
0.0441096, 0.516538
0.0443405, 0.516625
0.0445714, 0.516712
0.0448024, 0.516798
0.0450333, 0.516885
0.0452643, 0.516971
0.0454952, 0.517058
0.0457261, 0.517144
0.0459571, 0.517231
0.046188, 0.517317
0.046419, 0.517404
0.0466499, 0.517491
0.0468808, 0.517577
0.0471118, 0.517664
0.0473427, 0.51775
0.0475737, 0.517837
0.0478046, 0.517923
0.0480355, 0.51801
0.0482665, 0.518096
0.0484974, 0.518183
0.0487284, 0.51827
0.0489593, 0.518356
0.0491902, 0.518443
0.0494212, 0.518529
0.0496521, 0.518616
